"Stock","Beta_Full","Beta_150","Expected_Return_Full_Pct","Expected_Return_150mo_Pct"
"GE",1.272,1.304,9.92,1.03
"MSFT",1.119,1.257,8.96,1.08
"XOM",0.641,0.493,5.96,1.8
"PFE",0.57,0.55,5.51,1.75
"C",1.728,1.904,12.79,0.47
