"Stock","Beta_Full","Beta_150","Expected_Return_Full_Pct","Expected_Return_150mo_Pct"
"NVDA",2.043,2.331,14.77,0.06
"MSFT",1.119,1.257,8.96,1.08
"AAPL",1.336,1.544,10.32,0.81
"AMZN",1.494,1.676,11.32,0.68
"BRK-A",0.583,0.411,5.59,1.88
