"Year_Index","Wealth_GMVP_Net","Wealth_GMVP_Gross","Wealth_MV_Net","Wealth_MV_Gross","Wealth_SP500","Wealth_GMVP_Net_Real","Wealth_GMVP_Gross_Real","Wealth_MV_Net_Real","Wealth_MV_Gross_Real","Wealth_SP500_Real"
0,1,1,1,1,1,1,1,1,1,1
1,1.02779428283197,1.02873377366856,1.03842974064538,1.03875106791167,1.08251365430871,0.98959399306323,0.990498565606545,0.999834160129182,1.00014354454378,1.04227959583616
2,1.27137832873525,1.27292445936167,1.22376204998122,1.22418171613185,1.26427174617363,1.20714822000271,1.20861624001799,1.16193751848142,1.16233598307318,1.20040066241449
3,1.43359547754576,1.43554033727386,1.34976258826379,1.35025667886684,1.44553354526647,1.31373513574034,1.31551738924135,1.23691136368932,1.2373641442649,1.3246750830708
4,0.969291231254037,0.9707474192307,0.768089791753034,0.768510703471825,0.92428366440877,0.856301431053245,0.857587871916519,0.678553944003579,0.678925790251153,0.816540374050836
5,0.957183860460025,0.95883958796278,0.666824847986239,0.667297768216771,1.01415901152336,0.847503549737825,0.848969553286307,0.590415748809343,0.590834478784507,0.897950119898151
6,0.965793032450212,0.967786132441663,0.701152778545034,0.701828091447397,1.18329342566762,0.84526456648803,0.84700893276904,0.613650730006999,0.614241765610364,1.03562147465237
7,1.13033018971888,1.13271200843974,0.749094218365054,0.749834964803771,1.27821510011558,0.955608808684056,0.957622456528771,0.633302587257248,0.633928832427268,1.08063433160819
8,1.40419124326468,1.40721061727205,0.926509500718197,0.927451158454233,1.4704742344256,1.16208679635396,1.16458558324218,0.766764828256496,0.7675441295283,1.21694156718409
9,1.58687530812327,1.59032130546347,1.13511552079404,1.13629964854949,1.86877045943675,1.30185859727748,1.30468566329872,0.931238826443459,0.932210274477732,1.53312290921785
10,1.74663824705794,1.75046287469068,1.27554647399313,1.27690404230366,2.18548093843287,1.41022849665589,1.41331648518807,1.02987094749814,1.03096704253722,1.764548270638
11,1.77431248762965,1.77828526441107,1.37499139181287,1.37647102436644,2.29894445926214,1.43074669431086,1.43395020963687,1.10874741752523,1.10994054410219,1.85379250184263
12,1.83803462498471,1.84220036575592,1.44965819992451,1.45127884174385,2.40062650830152,1.45755679677659,1.46086021864479,1.14957527653782,1.15086044139098,1.90369073364221
13,2.02461581526572,2.02924622579777,1.55261383765502,1.55437348106555,2.96312655836131,1.57371425472755,1.57731342796555,1.20683169121856,1.20819944499066,2.30320956118926
14,2.21637265643546,2.22148347962176,1.42578120399255,1.42751936965071,3.17539008591862,1.68087698890176,1.68475299100965,1.0812995775061,1.08261778663001,2.40818713888643
15,2.13600633995945,2.14101091897308,1.57199098405512,1.57401718205956,3.62979502718047,1.59231753366735,1.59604827114829,1.17186394059368,1.17337439987874,2.70588441488789
16,1.63540526620095,1.63940594879594,1.32790549558553,1.3297464393654,3.98310141633167,1.20431927569913,1.20726539508903,0.977875158954,0.979230837650524,2.93317253642946
17,2.82040530060911,2.82759312313813,2.34983791302778,2.35322780911323,5.6807955421956,1.95521500942678,1.96019788847994,1.62899933434381,1.63134934258739,3.93814914019158
18,3.52756629705683,3.53663154405438,2.22397794677001,2.22736979832175,4.84960116362984,2.26940307587379,2.27523505681684,1.43076046431397,1.43294255748989,3.11991295718101
19,3.34723866361644,3.35609999516705,2.58272109422421,2.58686802375717,5.33396368622683,2.08567981399587,2.09120135046147,1.6093053984937,1.61188936936825,3.32361731772381
20,3.7724376125859,3.78250739075286,3.52110788088411,3.52679835971674,7.35083904215195,2.29169452260941,2.29781174914541,2.13901579636931,2.14247266975225,4.46551521840428
21,4.04021624806482,4.05106744142505,4.62629984396683,4.63382281104957,8.92421748536452,NA,NA,NA,NA,NA
